	Emoji	Hexadecimal	Unicode	Texto	
 🙅‍♂	&#x200d00000000;	U+1F6450000200D00002642	\xf0\x9f\x99\x85\xe2\x80\x8d\xe2\x99\x82	
 ➿	&#x27bf;	U+27BF	\xe2\x9e\xbf	
 🆎	&#x1f18e;	U+1F18E	\xf0\x9f\x86\x8e	
 🆕	&#x1f195;	U+1F195	\xf0\x9f\x86\x95	
 🆔	&#x1f194;	U+1F194	\xf0\x9f\x86\x94	
 🆗	&#x1f197;	U+1F197	\xf0\x9f\x86\x97	
 🆖	&#x1f196;	U+1F196	\xf0\x9f\x86\x96	
 🆑	&#x1f191;	U+1F191	\xf0\x9f\x86\x91	
 🆓	&#x1f193;	U+1F193	\xf0\x9f\x86\x93	
 🆒	&#x1f192;	U+1F192	\xf0\x9f\x86\x92	
 🆙	&#x1f199;	U+1F199	\xf0\x9f\x86\x99	
 🆘	&#x1f198;	U+1F198	\xf0\x9f\x86\x98	
 🆚	&#x1f19a;	U+1F19A	\xf0\x9f\x86\x9a	
 🇯🇪	&#x1f1ef0001f1ea;	U+1F1EF0001F1EA	\xf0\x9f\x87\xaf\xf0\x9f\x87\xaa	
 🧛‍♂️	&#x0;	U+1F9DB0000200D000026420000FE0F	\xf0\x9f\xa7\x9b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f	
 🇯🇵	&#x1f1ef0001f1f5;	U+1F1EF0001F1F5	\xf0\x9f\x87\xaf\xf0\x9f\x87\xb5	
 🇯🇴	&#x1f1ef0001f1f4;	U+1F1EF0001F1F4	\xf0\x9f\x87\xaf\xf0\x9f\x87\xb4	
 🇯🇲	&#x1f1ef0001f1f2;	U+1F1EF0001F1F2	\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2	
 🏴󠁧󠁢󠁷󠁬󠁳󠁿	&#x0;	U+1F3F4000E0067000E0062000E0077000E006C000E0073000E007F	\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf	
 🙍‍♂	&#x200d00000000;	U+1F64D0000200D00002642	\xf0\x9f\x99\x8d\xe2\x80\x8d\xe2\x99\x82	
 🇺🇸	&#x1f1fa0001f1f8;	U+1F1FA0001F1F8	\xf0\x9f\x87\xba\xf0\x9f\x87\xb8	
 🇺🇾	&#x1f1fa0001f1fe;	U+1F1FA0001F1FE	\xf0\x9f\x87\xba\xf0\x9f\x87\xbe	
 🇺🇿	&#x1f1fa0001f1ff;	U+1F1FA0001F1FF	\xf0\x9f\x87\xba\xf0\x9f\x87\xbf	
 🇺🇬	&#x1f1fa0001f1ec;	U+1F1FA0001F1EC	\xf0\x9f\x87\xba\xf0\x9f\x87\xac	
 5⃣	&#x35000020e3;	U+35000020E3	\x35\xe2\x83\xa3	
 🇺🇦	&#x1f1fa0001f1e6;	U+1F1FA0001F1E6	\xf0\x9f\x87\xba\xf0\x9f\x87\xa6	
 🇿🇲	&#x1f1ff0001f1f2;	U+1F1FF0001F1F2	\xf0\x9f\x87\xbf\xf0\x9f\x87\xb2	
 〰	&#x3030;	U+3030	\xe3\x80\xb0	
 🇿🇼	&#x1f1ff0001f1fc;	U+1F1FF0001F1FC	\xf0\x9f\x87\xbf\xf0\x9f\x87\xbc	
 🇿🇦	&#x1f1ff0001f1e6;	U+1F1FF0001F1E6	\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6	
 🏌‍♀	&#x200d00000000;	U+1F3CC0000200D00002640	\xf0\x9f\x8f\x8c\xe2\x80\x8d\xe2\x99\x80	
 🙇‍♀	&#x200d00000000;	U+1F6470000200D00002640	\xf0\x9f\x99\x87\xe2\x80\x8d\xe2\x99\x80	
 ®	&#xae;	U+AE	\xc2\xae	
 ©	&#xa9;	U+A9	\xc2\xa9	
 🏴󠁧󠁢󠁳󠁣󠁴󠁿	&#x0;	U+1F3F4000E0067000E0062000E0073000E0063000E0074000E007F	\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf	
 🗨	&#x1f5e8;	U+1F5E8	\xf0\x9f\x97\xa8	
 🗯	&#x1f5ef;	U+1F5EF	\xf0\x9f\x97\xaf	
 💇‍♂	&#x200d00000000;	U+1F4870000200D00002642	\xf0\x9f\x92\x87\xe2\x80\x8d\xe2\x99\x82	
 🗣	&#x1f5e3;	U+1F5E3	\xf0\x9f\x97\xa3	
 🗡	&#x1f5e1;	U+1F5E1	\xf0\x9f\x97\xa1	
 🗺	&#x1f5fa;	U+1F5FA	\xf0\x9f\x97\xba	
 🗻	&#x1f5fb;	U+1F5FB	\xf0\x9f\x97\xbb	
 🗾	&#x1f5fe;	U+1F5FE	\xf0\x9f\x97\xbe	
 🗿	&#x1f5ff;	U+1F5FF	\xf0\x9f\x97\xbf	
 🗼	&#x1f5fc;	U+1F5FC	\xf0\x9f\x97\xbc	
 🗽	&#x1f5fd;	U+1F5FD	\xf0\x9f\x97\xbd	
 🗳	&#x1f5f3;	U+1F5F3	\xf0\x9f\x97\xb3	
 🧖‍♀️	&#x0;	U+1F9D60000200D000026400000FE0F	\xf0\x9f\xa7\x96\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f	
 🗂	&#x1f5c2;	U+1F5C2	\xf0\x9f\x97\x82	
 🗃	&#x1f5c3;	U+1F5C3	\xf0\x9f\x97\x83	
 🗄	&#x1f5c4;	U+1F5C4	\xf0\x9f\x97\x84	
 👩‍🍳	&#x200d00000000;	U+1F4690000200D0001F373	\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x8d\xb3	
 🗞	&#x1f5de;	U+1F5DE	\xf0\x9f\x97\x9e	
 🗜	&#x1f5dc;	U+1F5DC	\xf0\x9f\x97\x9c	
 🗝	&#x1f5dd;	U+1F5DD	\xf0\x9f\x97\x9d	
 🗒	&#x1f5d2;	U+1F5D2	\xf0\x9f\x97\x92	
 🗓	&#x1f5d3;	U+1F5D3	\xf0\x9f\x97\x93	
 🗑	&#x1f5d1;	U+1F5D1	\xf0\x9f\x97\x91	
 🤷‍♂	&#x200d00000000;	U+1F9370000200D00002642	\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82	
 🤷‍♀	&#x200d00000000;	U+1F9370000200D00002640	\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80	
 ‼	&#x203c;	U+203C	\xe2\x80\xbc	
 🦹‍♀️	&#x0;	U+1F9B90000200D000026400000FE0F	\xf0\x9f\xa6\xb9\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f	
 🇴🇲	&#x1f1f40001f1f2;	U+1F1F40001F1F2	\xf0\x9f\x87\xb4\xf0\x9f\x87\xb2	
 
